phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
2966_irnt,Age high blood pressure diagnosed,both_sexes,0.0341,0.0058,0.0341,0.0058,8.69,1.03,0.0068,0.298 (0.0645),1.1,1.11,,274170,87024,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2966,"ACE touchscreen question ""What was your age when the high blood pressure was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2966~ was collected from participants who indicated they were told by a doctor that they have had high blood pressure, as defined by their answers to ~F6150~"
5984_irnt,"ECG, load",both_sexes,0.0341,0.0081,0.0341,0.0081,4.89,1.02,0.0059,0.315 (0.086),1.07,1.07,,307351,53843,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,"ECG, load The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains load in Watts at the time of the trend entry."
1787,Maternal smoking around birth,both_sexes,0.0341,0.0023,0.0587,0.0039,49.3,1.07,0.0085,0.2132 (0.0275),1.26,1.31,30.71,51252,309942,95182.0,214760.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,"ACE touchscreen question ""Did your mother smoke regularly around the time when you were born?"" ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"
20002_1226,"Non-cancer illness code, self-reported: hypothyroidism/myxoedema",both_sexes,0.0335,0.004,0.1524,0.0183,16.56,1.1,0.0128,0.2429 (0.0321),1.22,1.4,4.87,53,361141,17574.0,343567.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20515,Recent trouble relaxing,both_sexes,0.0334,0.004,0.0334,0.004,16.47,1.01,0.0067,0.1073 (0.0651),1.09,1.1,,243488,117706,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20515,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Trouble relaxing"""
5001,FI7 : synonym,both_sexes,0.0333,0.0063,0.0862,0.0162,7.2,1.03,0.006999999999999999,0.2692 (0.0715),1.1,1.1,87.54,276634,84560,74026.0,10534.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5001,"ACE touchscreen question ""Stop means the same as?"". Part 7 of Fluid Intelligence test. Offered choice from Pause, Close, Cease, Break or Rest."
1090,Time spent driving,both_sexes,0.0332,0.0024,0.0332,0.0024,43.1,1.03,0.0073,0.1329 (0.0342),1.19,1.21,,119837,241357,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1090,"ACE touchscreen question ""In a typical DAY, how many hours do you spend driving?"" The following checks were performed: If answer If answer > 24 then rejected If answer > 6 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend driving varies a lot, give the average time for a 24 hour day in the last 4 weeks. Include driving a car, bus, motorcycle, boat, truck etc. Include all the driving that you do as part of work, getting to work or outside of work. If you do not drive please enter 0. "
2926,Number of unsuccessful stop-smoking attempts,both_sexes,0.0332,0.0057,0.0332,0.0057,8.54,1.02,0.0065,0.2476 (0.0769),1.08,1.08,,280168,81026,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2926,"ACE touchscreen question ""How many times did you try to give up smoking before you were successful?"" The following checks were performed: If answer If answer > 200 then rejected If answer > 20 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2926~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~ and that during the time they smoked they stopped for more than 6 months, as defined by their answers to ~F1249~"
20509,Recent inability to stop or control worrying,both_sexes,0.0332,0.0043,0.0332,0.0043,14.24,1.01,0.0071,0.1089 (0.069),1.09,1.1,,243611,117583,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20509,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Not being able to stop or control worrying"""
5108_irnt,3mm asymmetry angle (right),both_sexes,0.0331,0.0067,0.0331,0.0067,6.41,1.02,0.0067,0.2546 (0.0805),1.08,1.08,,287156,74038,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5108,This is the asymmetric angle of keratometry results taken at 3mm for the right eye (blank indicates no asymmetry)
2443,Diabetes diagnosed by doctor,both_sexes,0.033,0.0025,0.1514,0.0113,39.36,1.08,0.0109,0.2294 (0.0309),1.26,1.35,4.8,1002,360192,17275.0,342917.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2443,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. "
20448,Professional informed about depression,both_sexes,0.0328,0.0068,0.0541,0.0113,6.15,1.01,0.0066,0.206 (0.1076),1.06,1.06,64.44,294892,66302,42728.0,23574.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20448,"Question asked: ""Did you ever tell a professional about these problems (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional)?"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
6138_6,"Qualifications: Other professional qualifications eg: nursing, teaching",both_sexes,0.0328,0.0021,0.0575,0.0037,54.57,1.06,0.0093,0.1809 (0.0283),1.29,1.33,29.15,3645,357549,104241.0,253308.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: A levels/AS levels and equivalent includes the Higher School Certificate O levels/GCSEs and equivalent includes the School Certificate. "
XIII_MUSCULOSKELET,Diseases of the musculoskeletal system and connective tissue,both_sexes,0.0328,0.0026,0.0651,0.0051,36.06,1.06,0.0092,0.1841 (0.027),1.28,1.34,21.35,0,361194,77099.0,284095.0,,
2070,Frequency of tenseness / restlessness in last 2 weeks,both_sexes,0.0326,0.0024,0.0326,0.0024,41.6,1.05,0.0091,0.1515 (0.0293),1.26,1.31,,13229,347965,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2070,"ACE touchscreen question ""Over the past two weeks, how often have you felt tense, fidgety or restless?"" If the participant activated the Help button they were shown the message: Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know. "
1548,Variation in diet,both_sexes,0.0326,0.0022,0.0326,0.0022,49.25,1.04,0.0087,0.1421 (0.0282),1.26,1.31,,1442,359752,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1548,"ACE touchscreen question ""Does your diet vary much from week to week?"""
2110,Able to confide,both_sexes,0.0326,0.002,0.0326,0.002,59.31,1.05,0.0082,0.1703 (0.0262),1.27,1.31,,10576,350618,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2110,"ACE touchscreen question ""How often are you able to confide in someone close to you?"""
3571,Back pain for 3+ months,both_sexes,0.0325,0.0044,0.0556,0.0075,13.12,1.0,0.0065,0,1.07,1.06,68.53,270639,90555,62055.0,28500.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3571,"ACE touchscreen question ""Have you had back pains for more than 3 months?"" ~F3571~ was collected from participants who indicated that in the last month they experienced back pain that interfered with their usual activities, as defined by their answers to ~F6159~"
20485,Ever contemplated self-harm,both_sexes,0.0322,0.0044,0.0322,0.0044,12.9,1.03,0.0065,0.2811 (0.0545),1.11,1.12,,243584,117610,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20485,"Question asked: ""Have you contemplated harming yourself (for example by cutting, biting, hitting yourself or taking an overdose)?"""
2050,Frequency of depressed mood in last 2 weeks,both_sexes,0.0322,0.0024,0.0322,0.0024,40.62,1.04,0.0089,0.1304 (0.0303),1.24,1.29,,15237,345957,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2050,"ACE touchscreen question ""Over the past two weeks, how often have you felt down, depressed or hopeless?"" If the participant activated the Help button they were shown the message: Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know. "
5087_irnt,Cylindrical power (right),both_sexes,0.032,0.0054,0.032,0.0054,8.81,1.0,0.0062,0.0646 (0.1007),1.06,1.06,,283211,77983,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5087,This is the cylindrical power of refractometry results for the right eye (0.00 indicates none)
20510,Recent feelings of depression,both_sexes,0.0318,0.0039,0.0318,0.0039,15.75,1.01,0.0068,0.0608 (0.0727),1.08,1.09,,243538,117656,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20510,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Feeling down, depressed, or hopeless"""
874_irnt,Duration of walks,both_sexes,0.0316,0.0022,0.0316,0.0022,46.36,1.05,0.0083,0.1827 (0.0298),1.23,1.28,,52205,308989,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=874,"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?"" The following checks were performed: If answer If answer > 1440 then rejected If answer If answer > 300 then participant asked to confirm If the participant activated the Help button they were shown the message: Count the number of minutes that you usually spend walking in one day. If the time you usually spend walking on each day of the week varies a lot, give an average of the time you spend walking. For instance if on one day of the week you usually walk for 4 hours but on the other day you walk 2 hours then give the average - that is 3 hours. ~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~"
30520_irnt,Potassium in urine,both_sexes,0.0314,0.0021,0.0314,0.0021,50.12,1.04,0.009000000000000001,0.1458 (0.03),1.26,1.3,,11141,350053,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30520,Measured by ISE (ion selective electrode) analysis on a Beckman Coulter AU5400.
1060,Time spent outdoors in winter,both_sexes,0.0313,0.0023,0.0313,0.0023,41.75,1.04,0.0074,0.1542 (0.0313),1.21,1.24,,76305,284889,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1060,"ACE touchscreen question ""In a typical DAY in winter, how many hours do you spend outdoors?"" The following checks were performed: If answer If answer > 24 then rejected If answer > 10 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend outdoors in winter varies a lot, give the average time per day. For example if you spend 1 hour a day on each weekday and 4 hours a day on the weekend, the total hours in a week is 13 (5 + 8), so you spend approximately 2 hours a day. "
5375_irnt,Longest period of unenthusiasm / disinterest,both_sexes,0.0313,0.0107,0.0313,0.0107,2.76,0.99,0.0061,0,1.02,1.02,,329029,32165,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5375,"ACE touchscreen question ""How many weeks was the longest period when you were uninterested in things or unable to enjoy the things you used to?"" The following checks were performed: If answer If answer > 999 then rejected ~F5375~ was collected from participants who indicated they have been uninterested in things or unable to enjoy things they used to for at least a week, as defined by their answers to ~F4631~"
6154_3,"Medication for pain relief, constipation, heartburn: Paracetamol",both_sexes,0.0312,0.002,0.0612,0.004,54.44,1.06,0.0083,0.1813 (0.0268),1.27,1.31,21.83,4110,357084,77936.0,279148.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,"ACE touchscreen question ""Do you regularly take any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Some over the counter medicines are known by other names. Please enter the corresponding name if you take any of the following REGULARLY (that is, most days of the week for the last 4 weeks): Aspirin: Alka Rapid Crystals, Alka-Seltzer XS, Anadin Extra, Anadin Original, Askit powders, Aspro Clear, Codis 500, Disprin, Disprin Extra Ibuprofen: Anadin Ultra, Anadin Ibuprofen, Cuprofen Plus, Nurofen, Solpaflex, Ibuleve Paracetamol: Anadin Extra, Hedex Extra, Panadol, Paracodol, Paramol, Solpadeine, Syndol, Veganin, Feminax, Midrid, Migraleve Codeine: Codis 500, Cuprofen Plus, Nurofen Plus, Panadol Ultra, Paracodol, Paramol, Solpadeine Max, Sopadeine Plus, Solpafelx, Syndol, Veganin, Feminax, Migraleve "
20536_1,Weight change during worst episode of depression: Gained weight,both_sexes,0.0312,0.0076,0.0684,0.0166,4.69,1.02,0.0063,0.2659 (0.0981),1.06,1.06,17.16,304623,56571,9708.0,46863.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20536,"Question asked: ""Did you gain or lose weight without trying, or did you stay about the same weight?"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
4979,FI5 : family relationship calculation,both_sexes,0.0312,0.0042,0.049,0.0066,13.26,1.02,0.0068,0.188 (0.0656),1.1,1.1,49.33,247838,113356,55922.0,57434.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4979,"ACE touchscreen question ""If Truda's mother's brother is Tim's sister's father, what relation is Truda to Tim?"". Part 5 of Fluid Intelligence test. Offered choice from Aunt, Sister, Niece, Cousin, No-relation."
6159_7,Pain type(s) experienced in last month: Knee pain,both_sexes,0.031,0.002,0.0615,0.004,53.76,1.04,0.0081,0.1437 (0.0268),1.25,1.3,21.26,803,360391,76628.0,283763.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159,"ACE touchscreen question ""In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)"" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
20520,Recent worrying too much about different things,both_sexes,0.0309,0.0044,0.0309,0.0044,11.96,1.02,0.0073,0.1562 (0.0697),1.1,1.1,,243627,117567,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20520,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Worrying too much about different things"""
5160_irnt,3mm regularity index (right),both_sexes,0.0308,0.0069,0.0308,0.0069,5.4,1.01,0.0074,0.1643 (0.1099),1.05,1.07,,287135,74059,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5160,This is the regularity index as part of the keratometry result taken at 3mm for the right eye
20549_3,Substances taken for anxiety: Medication prescribed to you (for at least two weeks),both_sexes,0.0308,0.0044,0.0777,0.011000000000000001,11.89,1.01,0.0064,0.1689 (0.0767),1.08,1.08,13.07,262204,98990,12942.0,86048.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20549,"Question asked: ""Did you ever use the following for the worry or the problems it caused? (tick all that apply):"" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months."
20512,Recent feelings of foreboding,both_sexes,0.0307,0.0041,0.0307,0.0041,13.46,1.01,0.0071,0.1258 (0.0744),1.09,1.1,,243720,117474,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20512,"Question asked: ""Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Feeling afraid as if something awful might happen"""
6159_1,Pain type(s) experienced in last month: Headache,both_sexes,0.0307,0.0022,0.0629,0.0046,43.83,1.05,0.0088,0.1696 (0.0282),1.23,1.31,19.89,803,360391,71672.0,288719.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159,"ACE touchscreen question ""In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)"" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
4196_irnt,Pulse wave peak to peak time,both_sexes,0.0307,0.004,0.0307,0.004,14.08,1.02,0.0068,0.1929 (0.0651),1.1,1.1,,242407,118787,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4196,peak to peak time in milliseconds A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. peak to peak time is the difference between the peak values of direct and reflected components.
20408,Frequency of memory loss due to drinking alcohol in last year,both_sexes,0.0305,0.0066,0.0305,0.0066,5.72,1.0,0.0064,0.1005 (0.1305),1.04,1.05,,296165,65029,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20408,"Question asked: ""How often during the last year have you been unable to remember what happened the night before because you had been drinking?"" Question was asked when the sum of the answer to ~F20403~ plus the answer to ~F20416~ was 3 or above. Participants responding ""prefer not to answer"" to one of these trigger questions were scored as 1 for that question."
5103_irnt,3mm weak meridian angle (left),both_sexes,0.0305,0.0057,0.0305,0.0057,7.36,1.01,0.0062,0.1618 (0.0905),1.06,1.07,,285796,75398,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5103,This is the weak meridian angle of keratometry results taken at 3mm for the left eye (blank indicates no cylinder power)
2247_0,Hearing difficulty/problems: No,both_sexes,0.0305,0.002,0.0557,0.0037,52.08,1.05,0.0078,0.1767 (0.0257),1.24,1.3,73.81,14559,346635,255838.0,90797.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247,"ACE touchscreen question ""Do you have any difficulty with your hearing?"" The option to identify oneself as completely deaf was added in 2009 alongside the introduction of the speech-in-noise test."
20496,Felt distant from other people in past month,both_sexes,0.0303,0.008,0.0303,0.008,4.12,1.01,0.0062,0.2646 (0.1188),1.04,1.05,,308372,52822,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20496,"Question asked: ""Please indicate how much you have been bothered by that problem in the past month: Feeling distant or cut off from other people?"" Question was asked when ~F20497~ or ~F20498~ or ~F20495~ was at least ""A little bit""."
20433_irnt,Age at first episode of depression,both_sexes,0.0302,0.0067,0.0302,0.0067,5.48,1.01,0.0056,0.1769 (0.1084),1.05,1.05,,300161,61033,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20433,"Question asked: ""About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.)"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
864,Number of days/week walked 10+ minutes,both_sexes,0.0301,0.0019,0.0301,0.0019,56.1,1.05,0.0081,0.1684 (0.0276),1.24,1.29,,6164,355030,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=864,"ACE touchscreen question ""In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)"" The following checks were performed: If answer If answer > 7 then rejected If the participant activated the Help button they were shown the message: Count the number of days in a week that you walk for at least 10 minutes continuously at a time. "
2664_5,Reason for reducing amount of alcohol drunk: Other reason,both_sexes,0.0298,0.0037,0.0469,0.0058,15.4,1.02,0.0064,0.176 (0.0566),1.1,1.11,52.68,227161,134033,70609.0,63424.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2664,"ACE touchscreen question ""Why did you reduce the amount you drank?"" ~F2664~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~ and they drink less nowadays than 10 years ago, as defined by their answers to ~F1558~"
20449,Feelings of tiredness during worst episode of depression,both_sexes,0.0295,0.0087,0.0631,0.0186,3.46,1.0,0.0072,0.1048 (0.1815),1.03,1.04,81.9,301420,59774,48952.0,10822.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20449,"Question asked: ""Did you feel more tired out or low on energy than is usual for you?"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
2724,Had menopause,female,0.0295,0.0043,0.0532,0.0077,11.46,1.02,0.0085,0.1322 (0.0624),1.08,1.14,73.14,30990,163184,119355.0,43829.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2724,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
6149_100,Mouth/teeth dental problems: None of the above,both_sexes,0.028999999999999998,0.0018,0.0467,0.003,57.97,1.05,0.0079,0.1737 (0.0267),1.26,1.3,60.68,1353,359841,218346.0,141495.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149,"ACE touchscreen question ""Do you have any of the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Answer this question thinking about the past year. "
6159_4,Pain type(s) experienced in last month: Back pain,both_sexes,0.0288,0.0019,0.0533,0.0035,51.47,1.06,0.0087,0.1891 (0.0297),1.25,1.29,25.35,803,360391,91349.0,269042.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159,"ACE touchscreen question ""In the last month have you experienced any of the following that interfered with your usual activites? (You can select more than one answer)"" The following checks were performed: If code 8 was selected, then no additional choices were allowed. If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. "
6164_4,"Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)",both_sexes,0.0288,0.0019,0.0452,0.0029,51.47,1.03,0.0087,0.1284 (0.032),1.23,1.27,51.96,1931,359263,186679.0,172584.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164,"ACE touchscreen question ""In the last 4 weeks did you spend any time doing the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Strenuous sports include sports that make you sweat or breathe hard. Heavy DIY includes chopping wood, home or car maintenance, lifting heavy objects or using heavy tools. "
1747_3,"Hair colour (natural, before greying): Light brown",both_sexes,0.0288,0.0058,0.0462,0.0093,6.47,1.06,0.0098,0.2083 (0.0334),1.12,1.29,40.96,924,360270,147560.0,212710.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747,"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)"" If the participant activated the Help button they were shown the message: If you are unsure, please select the colour closest to your natural adult hair colour or select Do not know. "
20531,Victim of sexual assault,both_sexes,0.0287,0.0043,0.0679,0.0102,10.91,1.01,0.0066,0.1075 (0.0781),1.07,1.08,14.77,244523,116671,17230.0,99441.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20531,"Question asked: ""In your life, have you...? Been a victim of a sexual assault, whether by a stranger or someone you knew"""
3005,Fracture resulting from simple fall,both_sexes,0.0283,0.01,0.0454,0.0161,2.63,1.0,0.0059,0,1.02,1.02,59.41,326884,34310,20384.0,13926.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3005,"ACE touchscreen question ""Did the fracture result from a simple fall (i.e. from standing height)?"" If the participant activated the Help button they were shown the message: A simple fall is any fall from standing height or lower. For example if you trip and fall over, this is a simple fall. Falls from a stool or chair that you are sitting on are also counted as simple. Falls from anything higher ie: down a flight of stairs, from a ladder, from standing on a stool or chair are NOT simple falls. If you have had more than one fracture in the last 5 years, select YES if any one of the fractures resulted from a simple fall. ~F3005~ was collected from participants who indicated they have had fractured/broken bones in the last 5 years, as defined by their answers to ~F2463~"
20426,Restless during period of worst anxiety,both_sexes,0.0281,0.0119,0.0452,0.0192,2.04,1.0,0.0057,0.0721 (0.2437),1.03,1.02,60.03,327330,33864,20328.0,13536.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20426,"Question asked: ""When you were worried or anxious, were you also: Restless?"" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months."
20111_8,Illnesses of siblings: High blood pressure,both_sexes,0.0281,0.0023,0.0563,0.0047,33.9,1.04,0.0081,0.1658 (0.036),1.18,1.23,20.77,79575,281619,58495.0,223124.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111,"This field contains the combined results of 2 ACE touchscreen questions, both asked ""Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)"" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~."
2020,"Loneliness, isolation",both_sexes,0.027999999999999997,0.0019,0.0602,0.0042,48.73,1.05,0.0078,0.1788 (0.0282),1.24,1.28,17.86,5611,355583,63508.0,292075.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020,"ACE touchscreen question ""Do you often feel lonely?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
110001,"Invitation to complete online 24-hour recall dietary questionnaire, acceptance",both_sexes,0.0278,0.0024,0.0472,0.0041,30.6,1.04,0.0072,0.2116 (0.0406),1.17,1.18,67.89,142960,218234,148169.0,70065.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=110001,Response to emailed invitation to complete online 24-hour recall dietary questionnaire. There is no data for instance=0 since this was completed as part of the initial assessment centre.
680_3,"Own or rent accommodation lived in: Rent - from local authority, local council, housing association",both_sexes,0.0274,0.0018,0.1175,0.0079,51.9,1.04,0.0083,0.1687 (0.031),1.25,1.27,5.32,4854,356340,18968.0,337372.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message: Please select: - Own outright if you or someone in your household owns the accommodation that you live in. - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in. ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~"
20544_15,"Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder",both_sexes,0.0273,0.0035,0.0659,0.0085,14.51,1.01,0.0068,0.0736 (0.0849),1.07,1.08,14.21,243443,117751,16730.0,101021.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20544,"Question asked: ""Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):"" Participant was offered a set of options which have been combined here into a single answer"
6164_1,Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport),both_sexes,0.0273,0.0019,0.0486,0.0034,46.39,1.06,0.0074,0.2222 (0.0258),1.24,1.29,71.97,1931,359263,258574.0,100689.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164,"ACE touchscreen question ""In the last 4 weeks did you spend any time doing the following? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: Strenuous sports include sports that make you sweat or breathe hard. Heavy DIY includes chopping wood, home or car maintenance, lifting heavy objects or using heavy tools. "
